Expenditure Amount (Millions),1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Total National Health Expenditures,27214.0,29138.0,31842.0,34595.0,38394.0,41852.0,46081.0,51565.0,58402.0,65923.0,74563.0,82728.0,92657.0,102809.0,116545.0,133283.0,152742.0,173850.0,195332.0,221528.0,255331.0,296155.0,334044.0,367809.0,404995.0,442900.0,474686.0,516520.0,579278.0,644770.0,721393.0,788062.0,854068.0,916581.0,967221.0,1021638.0,1074414.0,1135545.0,1201972.0,1278303.0,1369697.0,1486766.0,1629195.0,1768155.0,1896298.0,2024226.0,2156516.0,2295650.0,2399061.0,2494669.0,2596405.0,2687902.0,2795403.0,2877574.0,3029255.0,3205556.0
     Out of pocket,12949.0,13357.0,14255.0,15311.0,16928.0,18209.0,18594.0,18537.0,20500.0,22601.0,24953.0,26312.0,28646.0,31625.0,34373.0,37262.0,40647.0,44853.0,48016.0,52312.0,58146.0,65355.0,72450.0,78619.0,86500.0,95640.0,103610.0,109652.0,120217.0,126651.0,137882.0,140815.0,143178.0,144098.0,142035.0,144817.0,150354.0,161432.0,176906.0,187681.0,198966.0,206272.0,219314.0,235648.0,248479.0,263806.0,273196.0,289916.0,294881.0,293130.0,298727.0,308519.0,317607.0,325130.0,329652.0,338150.0
     Health Insurance,7497.0,8236.0,8999.0,9892.0,10971.0,12023.0,15673.0,21109.0,24379.0,27565.0,31763.0,36727.0,42617.0,48027.0,55956.0,66330.0,79068.0,93115.0,106582.0,122739.0,142333.0,167730.0,190651.0,212741.0,237405.0,259273.0,274699.0,300035.0,338282.0,387271.0,439113.0,492308.0,543122.0,593278.0,636747.0,681482.0,722128.0,758575.0,792527.0,846086.0,919448.0,1014921.0,1122023.0,1222281.0,1320644.0,1414602.0,1517815.0,1609716.0,1696163.0,1796114.0,1875102.0,1948166.0,2019609.0,2086283.0,2228203.0,2384525.0
          Private Health Insurance,5812.0,6468.0,7178.0,7952.0,9052.0,10072.0,10296.0,10452.0,11830.0,13363.0,15499.0,17840.0,20690.0,22994.0,26080.0,30578.0,37425.0,45692.0,52523.0,60955.0,69225.0,81804.0,94227.0,105128.0,119053.0,131311.0,136077.0,149177.0,175829.0,204775.0,233885.0,255092.0,274725.0,295294.0,308219.0,325342.0,343691.0,359826.0,385185.0,417594.0,458493.0,502498.0,561495.0,615693.0,658832.0,701724.0,737559.0,776628.0,803020.0,832551.0,863064.0,895098.0,925133.0,944901.0,999990.0,1072056.0
          Medicare,0.0,0.0,0.0,0.0,0.0,0.0,1842.0,4924.0,6218.0,7045.0,7672.0,8443.0,9325.0,10730.0,13428.0,16336.0,19694.0,22891.0,26668.0,30922.0,37387.0,44769.0,52351.0,59559.0,66207.0,71829.0,76829.0,83081.0,88965.0,101137.0,110182.0,120617.0,135996.0,149965.0,167670.0,184393.0,198750.0,210376.0,209420.0,213173.0,224829.0,247686.0,265381.0,282668.0,311122.0,339762.0,403690.0,432751.0,466971.0,498872.0,519253.0,546273.0,569513.0,590383.0,618452.0,646243.0
          Medicaid (Title XIX),0.0,0.0,0.0,0.0,0.0,0.0,1304.0,3141.0,3541.0,4174.0,5290.0,6695.0,8314.0,9423.0,11073.0,13446.0,15188.0,17464.0,19465.0,22332.0,26032.0,30307.0,32011.0,35266.0,38233.0,40937.0,45383.0,50339.0,55080.0,61952.0,73661.0,93211.0,108186.0,122373.0,134414.0,144862.0,152170.0,160831.0,168988.0,183433.0,200322.0,224061.0,248014.0,268873.0,290664.0,309249.0,306576.0,325755.0,344229.0,374432.0,397230.0,406742.0,422732.0,445403.0,497154.0,545132.0
                          Federal  ,0.0,0.0,0.0,0.0,0.0,0.0,632.0,1525.0,1835.0,2298.0,2842.0,3810.0,4547.0,4933.0,6277.0,7409.0,9153.0,9896.0,10919.0,12705.0,14521.0,16902.0,17843.0,19587.0,21096.0,22594.0,25187.0,27868.0,30995.0,35077.0,42607.0,56847.0,68602.0,76961.0,81052.0,85945.0,91099.0,94954.0,98648.0,107143.0,116821.0,132186.0,145221.0,160753.0,172274.0,177463.0,173879.0,185487.0,203081.0,247328.0,266360.0,247125.0,243260.0,256926.0,305452.0,344033.0
                          State and Local,0.0,0.0,0.0,0.0,0.0,0.0,672.0,1616.0,1707.0,1877.0,2447.0,2886.0,3766.0,4490.0,4797.0,6037.0,6036.0,7568.0,8547.0,9627.0,11511.0,13405.0,14168.0,15679.0,17137.0,18343.0,20196.0,22471.0,24085.0,26876.0,31054.0,36364.0,39585.0,45412.0,53363.0,58917.0,61071.0,65878.0,70340.0,76290.0,83501.0,91876.0,102793.0,108120.0,118390.0,131785.0,132697.0,140268.0,141148.0,127104.0,130870.0,159617.0,179471.0,188477.0,191702.0,201099.0
          CHIP (Title XIX and Title XXI),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,399.0,1723.0,3012.0,4167.0,5485.0,6296.0,7167.0,7566.0,8366.0,9117.0,10210.0,11106.0,11540.0,11990.0,12629.0,13509.0,13183.0,14620.0
                          Federal  ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,276.0,1199.0,2097.0,2913.0,3832.0,4410.0,4982.0,5254.0,5756.0,6316.0,7126.0,7812.0,8052.0,8377.0,8780.0,9362.0,9192.0,10913.0
